"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"RT @ValenciaNews_es: Videojuegos que detectan el aburrimiento: una empresa de origen espa<U+00F1>ol lleva la ciencia de datos a la consola - via h<U+2026>",FALSE,0,NA,2019-07-01 15:31:59,FALSE,NA,"1145716689834786816",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Vicente_G_Palop",1,TRUE,FALSE,NA,NA
"RT @DSI_UCLM: Quieres ser un especialista en Ciencia de Datos? Una de las profesiones con menos paro. En la @uclm_es en su @esiiab puedes h<U+2026>",FALSE,0,NA,2019-07-01 15:25:36,FALSE,NA,"1145715082149683202",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ATHdezMalagon",8,TRUE,FALSE,NA,NA
"Adquiere las herramientas necesarias para el desarrollo de la ciencia de datos bajo un <U+00E1>mbito financiero.<U+2026> https://t.co/UNSEpPtEcC",FALSE,0,NA,2019-07-01 15:25:07,TRUE,NA,"1145714958589730817",NA,"<a href=""https://www.hootsuite.com"" rel=""nofollow"">Hootsuite Inc.</a>","DiplomadosITAM",0,FALSE,FALSE,NA,NA
"RT @materia_ciencia: Amy Johnson era secretaria hasta que la aviaci<U+00F3>n cambi<U+00F3> su vida. Con solo 26 a<U+00F1>os fue la primera mujer en volar sola d<U+2026>",FALSE,0,NA,2019-07-01 15:20:05,FALSE,NA,"1145713693549895680",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","oubina_sonia",26,TRUE,FALSE,NA,NA
"Cient<U+00ED>ficos lograron teletransportar la informaci<U+00F3>n cu<U+00E1>ntica al inviolable interior de un diamante, un hallazgo cru<U+2026> https://t.co/bMwq79gZZV",FALSE,0,NA,2019-07-01 15:10:54,TRUE,NA,"1145711382685462530",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","NDasner",0,FALSE,FALSE,NA,NA
"RT @Hispantv: Cient<U+00ED>ficos lograron teletransportar la informaci<U+00F3>n cu<U+00E1>ntica al inviolable interior de un diamante, un hallazgo crucial para<U+2026>",FALSE,0,NA,2019-07-01 15:08:21,FALSE,NA,"1145710740663349248",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Cianuroengotas",14,TRUE,FALSE,NA,NA
"<U+00BF>C<U+00F3>mo iniciarte en la ciencia de datos? Para saberlo, no te pierdas la transmisi<U+00F3>n de #DataScienceLive, donde<U+2026> https://t.co/iifUKPXmFw",FALSE,7,NA,2019-07-01 15:06:32,TRUE,NA,"1145710282246971393",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","CienciayDatos_",2,FALSE,FALSE,NA,NA
"RT @LluisMontoliu: En ciencia las opiniones no importan. Son los hechos, los datos lo que importa. Podemos opinar que la velocidad de la lu<U+2026>",FALSE,0,NA,2019-07-01 15:03:27,FALSE,NA,"1145709508922159104",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","vic3pa",506,TRUE,FALSE,NA,NA
"Seis herramientas que facilitan la ciencia de datos. https://t.co/84TKBBGBB8 #DataScience #CIO https://t.co/nLvSrwUP7g",FALSE,0,NA,2019-07-01 15:00:00,FALSE,NA,"1145708638620782592",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","CIOPERU",0,FALSE,FALSE,NA,NA
"RT @ReticentPython: La Arqueobot<U+00E1>nica estudia restos vegetales buscando obtener datos sobre la evoluci<U+00F3>n de vegetales y climas; tambi<U+00E9>n del<U+2026>",FALSE,0,NA,2019-07-01 14:51:30,FALSE,NA,"1145706499727138816",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Munagropecuario",2,TRUE,FALSE,NA,NA
"RT @knob2001: Hoy sale a la venta la segunda versi<U+00F3>n standalone <U+0001F60E> para testear visores #VR con datos. Desde siempre he cre<U+00ED>do que las opini<U+2026>",FALSE,0,NA,2019-07-01 14:44:30,FALSE,NA,"1145704739503595520",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","JoanVillora",15,TRUE,FALSE,NA,NA
"RT @evamen: La #OpenScience es parte de la nueva metodolog<U+00ED>a cient<U+00ED>fica!!! Generamos hip<U+00F3>tesis y ciencia con los datos. Brillante <U+2066><U+2066>@julian<U+2026>",FALSE,0,NA,2019-07-01 14:41:10,FALSE,NA,"1145703899397087232",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","IRBLleida_Info",4,TRUE,FALSE,NA,NA
"RT @evamen: La #OpenScience es parte de la nueva metodolog<U+00ED>a cient<U+00ED>fica!!! Generamos hip<U+00F3>tesis y ciencia con los datos. Brillante <U+2066><U+2066>@julian<U+2026>",FALSE,0,NA,2019-07-01 14:40:48,FALSE,NA,"1145703808678465536",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","IDIVALdecilla",4,TRUE,FALSE,NA,NA
"RT @lab_fmed: <U+0001F51C><U+00A0>Ciencia de Datos en Salud<U+00A0><U+0001F4BB> - https://t.co/ImA3gLP0Ej https://t.co/JXF7S5G5Qh",FALSE,0,NA,2019-07-01 14:34:52,FALSE,NA,"1145702314189058048",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","veronicapeuchot",2,TRUE,FALSE,NA,NA
"RT @evamen: La #OpenScience es parte de la nueva metodolog<U+00ED>a cient<U+00ED>fica!!! Generamos hip<U+00F3>tesis y ciencia con los datos. Brillante <U+2066><U+2066>@julian<U+2026>",FALSE,0,NA,2019-07-01 14:27:55,FALSE,NA,"1145700564388499457",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","linhduned",4,TRUE,FALSE,NA,NA
"La #OpenScience es parte de la nueva metodolog<U+00ED>a cient<U+00ED>fica!!! Generamos hip<U+00F3>tesis y ciencia con los datos. Brillan<U+2026> https://t.co/CjZS2SVaju",FALSE,6,NA,2019-07-01 14:26:56,TRUE,NA,"1145700319415980035",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","evamen",4,FALSE,FALSE,NA,NA
"RT @materia_ciencia: Amy Johnson era secretaria hasta que la aviaci<U+00F3>n cambi<U+00F3> su vida. Con solo 26 a<U+00F1>os fue la primera mujer en volar sola d<U+2026>",FALSE,0,NA,2019-07-01 14:24:40,FALSE,NA,"1145699747409383424",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Marcu8458Conchi",26,TRUE,FALSE,NA,NA
"RT @materia_ciencia: Amy Johnson era secretaria hasta que la aviaci<U+00F3>n cambi<U+00F3> su vida. Con solo 26 a<U+00F1>os fue la primera mujer en volar sola d<U+2026>",FALSE,0,NA,2019-07-01 14:12:39,FALSE,NA,"1145696722561175552",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","zanabethh",26,TRUE,FALSE,NA,NA
"RT @Hispantv: Cient<U+00ED>ficos lograron teletransportar la informaci<U+00F3>n cu<U+00E1>ntica al inviolable interior de un diamante, un hallazgo crucial para<U+2026>",FALSE,0,NA,2019-07-01 14:11:40,FALSE,NA,"1145696476028231686",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","ZEVZEAZUN",14,TRUE,FALSE,NA,NA
"RT @knob2001: Hoy sale a la venta la segunda versi<U+00F3>n standalone <U+0001F60E> para testear visores #VR con datos. Desde siempre he cre<U+00ED>do que las opini<U+2026>",FALSE,0,NA,2019-07-01 14:11:13,FALSE,NA,"1145696361154842625",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Harold_RoV",15,TRUE,FALSE,NA,NA
"RT @materia_ciencia: Amy Johnson era secretaria hasta que la aviaci<U+00F3>n cambi<U+00F3> su vida. Con solo 26 a<U+00F1>os fue la primera mujer en volar sola d<U+2026>",FALSE,0,NA,2019-07-01 14:07:50,FALSE,NA,"1145695510600306688",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","irving211175",26,TRUE,FALSE,NA,NA
"RT @Hispantv: Cient<U+00ED>ficos lograron teletransportar la informaci<U+00F3>n cu<U+00E1>ntica al inviolable interior de un diamante, un hallazgo crucial para<U+2026>",FALSE,0,NA,2019-07-01 14:07:37,FALSE,NA,"1145695457819156480",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","colonizado",14,TRUE,FALSE,NA,NA
"RT @Hispantv: Cient<U+00ED>ficos lograron teletransportar la informaci<U+00F3>n cu<U+00E1>ntica al inviolable interior de un diamante, un hallazgo crucial para<U+2026>",FALSE,0,NA,2019-07-01 14:06:56,FALSE,NA,"1145695284477014016",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","nava_VVII",14,TRUE,FALSE,NA,NA
"RT @Hispantv: Cient<U+00ED>ficos lograron teletransportar la informaci<U+00F3>n cu<U+00E1>ntica al inviolable interior de un diamante, un hallazgo crucial para<U+2026>",FALSE,0,NA,2019-07-01 14:06:24,FALSE,NA,"1145695152159232002",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","Alberto38459991",14,TRUE,FALSE,NA,NA
"Cient<U+00ED>ficos lograron teletransportar la informaci<U+00F3>n cu<U+00E1>ntica al inviolable interior de un diamante, un hallazgo cru<U+2026> https://t.co/BPAseDWD27",FALSE,15,NA,2019-07-01 14:04:46,TRUE,NA,"1145694738814775297",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Hispantv",14,FALSE,FALSE,NA,NA
"RT @videojuegosAEVI: #Videojuegos <U+0001F3AE> que detectan el aburrimiento: una empresa de origen espa<U+00F1>ol lleva la ciencia de datos a la consola http<U+2026>",FALSE,0,NA,2019-07-01 14:03:13,FALSE,NA,"1145694347830202368",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","AlumnoErrante",6,TRUE,FALSE,NA,NA
"RT @materia_ciencia: Amy Johnson era secretaria hasta que la aviaci<U+00F3>n cambi<U+00F3> su vida. Con solo 26 a<U+00F1>os fue la primera mujer en volar sola d<U+2026>",FALSE,0,NA,2019-07-01 14:02:57,FALSE,NA,"1145694282252087297",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Braoler",26,TRUE,FALSE,NA,NA
"RT @materia_ciencia: Amy Johnson era secretaria hasta que la aviaci<U+00F3>n cambi<U+00F3> su vida. Con solo 26 a<U+00F1>os fue la primera mujer en volar sola d<U+2026>",FALSE,0,NA,2019-07-01 13:56:51,FALSE,NA,"1145692747111849984",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","kerikion",26,TRUE,FALSE,NA,NA
"Amy Johnson era secretaria hasta que la aviaci<U+00F3>n cambi<U+00F3> su vida. Con solo 26 a<U+00F1>os fue la primera mujer en volar sol<U+2026> https://t.co/7AJGDXQgfl",FALSE,51,NA,2019-07-01 13:49:00,TRUE,NA,"1145690770520756224",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","materia_ciencia",26,FALSE,FALSE,NA,NA
"RT @stertusio: INTELIGENCIA DE NEGOCIOS FINANCIERA. LA CIENCIA DE LOS DATOS EMPRESARIAL

Todo tipo de Organizaci<U+00F3>n necesita informaci<U+00F3>n par<U+2026>",FALSE,0,NA,2019-07-01 13:38:55,FALSE,NA,"1145688234204237824",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ifadesagps",1,TRUE,FALSE,NA,NA
"RT @knob2001: Hoy sale a la venta la segunda versi<U+00F3>n standalone <U+0001F60E> para testear visores #VR con datos. Desde siempre he cre<U+00ED>do que las opini<U+2026>",FALSE,0,NA,2019-07-01 13:36:34,FALSE,NA,"1145687644090843136",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Sebass_Villa",15,TRUE,FALSE,NA,NA
